source,keyword,date,product,reason,classification,status,country,recalling_firm
FDA,dates,20131107,"Grandpa's	,Red Skin Potato Salad,	2/5 lb.,		0 11596 51080 4,	11/22/2013 - 12/10/2013;  Grandpa's,	Red Skin Potato Salad,	12/16 oz,.	0 11596 14061 2,	0 11596 24061 9,	11/25/2013 - 12/10/2013;","Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",Class I,Terminated,USA,"Garden-Fresh Foods, Inc."
FDA,dates,20131107,"Copperwood Kitchens,	Steakhouse Macaroni Salad,	2/5 lb.,		8 11839 01018 0,	12/5/2013","Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",Class I,Terminated,USA,"Garden-Fresh Foods, Inc."
FDA,dates,20191103,Mann's Rainbow Slaw  6 x 12 oz. UPC: 716519013089 - Canada - Mann  6 x 12 oz. UPC:  716519013089 - SS   Same UPC.  Two films: one for Canada and one for US.      Rainbow Salad 6/12 OZ GE   UPC: 300349,CFIA notified FDA of positive result for Listeria monocytogenes with various best by dates of Sweet Kale Salad Blend.,Class I,Terminated,USA,"Mann Packing Company, Inc."
FDA,dates,20120910,#301 Creamy Redskin Potato Salad	5 pounds,"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.). The firm is voluntarily recalling all products manufactured from August 20t",Class II,Terminated,USA,Spartan Central Kitchen
FDA,dates,20120910,#380 2 lb Hearty Mac & Beef	2 pounds,"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.).  The firm is voluntarily recalling all products manufactured from August 20",Class II,Terminated,USA,Spartan Central Kitchen
FDA,dates,20181126,"Soom Foods Tahini:    Soom Foods Chocolate Tahini, 12 oz. Sweet Tahini Halva Spread (6/case)","Soom Foods is recalling its tahini and chocolate tahini halva spread because their manufacturer, Achdut LTD. is recalling its Tahini products of all packages and sizes produced in the following dates: April 7th to May 21st 2018, due to a possible contamination of Salmonella.",Class I,Terminated,USA,Soom Foods
FDA,dates,20120910,#319 Cherry Chicken Penne Salad	319	5 pounds,"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.). The firm is voluntarily recalling all products manufactured from August 20t",Class II,Terminated,USA,Spartan Central Kitchen
FDA,dates,20131107,"Garden-Fresh,	Pumpkin Bread Pudding,	1/7 lb.,		0 11596 75036 1,	11/21/2013 - 12/10/2013  Garden-Fresh,	Pumpkin Bread Pudding,	6/12 oz.,	0 11596 07036 0,	0 11596 07036 0,	11/27/2013 - 12/7/2013","Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",Class I,Terminated,USA,"Garden-Fresh Foods, Inc."
FDA,dates,20131107,"Weis, Baked Lima Beans, 1/5 lb., 	0 11596 52111 4, 	11/21/2013 - 12/3/2013","Garden-Fresh Foods is recalling various cut vegetables, ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013 because they may be contaminated with Listeria monocytogenes.",Class I,Terminated,USA,"Garden-Fresh Foods, Inc."
FDA,dates,20150909,"Snack Fresh, Red  Apple Slices, Net Wt. 2 oz., UPC: 0 74641 00982, Best If Used By: 9/21/2015;  Distributed by Country Fresh, LLC. , Houston, TX  77090;    packed 100-2 oz. pouches to a case","Appeeling Fruit Inc. in Dauberville, Penn. is voluntarily recalling consumer packages of fresh sliced apples with Best-if-Used-by dates of 09/14/15 and 09/21/15, due to the potential to be contaminated with listeria monocytogenes,",Class I,Terminated,USA,"Appeeling Fruit, Inc"
FDA,dates,20131107,"Martin's,	Oriental Cabbage Kit,	1/10 lb.,		0 11596 53050 5,	11/9/2013 - 11/11/2013;","Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",Class I,Terminated,USA,"Garden-Fresh Foods, Inc."
FDA,dates,20120910,#802 Salad - No Meat Large Chef	3/4 pounds  #801 Salad - No Meat Small Chef   1/4 pound,"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.).  The firm is voluntarily recalling all products manufactured from August 20",Class II,Terminated,USA,Spartan Central Kitchen
FDA,dates,20191103,Mann's Nourish Bowls Cauli Rice Curry  4 x 11 oz. UPC: 716519036897                   UPC: 716519036903 - Mann - Canada      Signature Farms Cauli Rice Curry  4 x 11 oz. UPC:  021130600526,CFIA notified FDA of positive result for Listeria monocytogenes with various best by dates of Sweet Kale Salad Blend.,Class II,Terminated,USA,"Mann Packing Company, Inc."
FDA,dates,20131107,"Garden-Fresh, Apple Harvest Cole Slaw Kit, 1/10.5 lb.,	0 11596 93032 9, 	11/8/2013 - 11/13/2013","Garden-Fresh Foods is recalling various cut vegetables, ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013 because they may be contaminated with Listeria monocytogenes.",Class I,Terminated,USA,"Garden-Fresh Foods, Inc."
FDA,dates,20131107,"Rogge's,	White Potato Salad,	2/5 lb.,		0 11596 51052 1,	11/17/2013 - 12/4/2013;","Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",Class I,Terminated,USA,"Garden-Fresh Foods, Inc."
FDA,dates,20131107,"Garden-Fresh,	Parmesan Pepper Salad Kit,	1/6.3 lb.,		0 11596 73037 0,	11/9/2013 - 11/12/2013;","Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",Class I,Terminated,USA,"Garden-Fresh Foods, Inc."
FDA,dates,20131107,"Spoon River,	Signature Macaroni Salad,	2/5 lb.,		0 11596 55690 1,	11/21/2013 - 12/4/2013","Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",Class I,Terminated,USA,"Garden-Fresh Foods, Inc."
FDA,dates,20131107,"Garden-Fresh,	Kidney Bean Salad,	2/5 lb.,		0 11596 52016 2,	11/21/2013 - 12/4/2013;","Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",Class I,Terminated,USA,"Garden-Fresh Foods, Inc."
FDA,dates,20120910,"#061 Fruit Cup:Cantalope,Honeydew,Grape,Strawberry	9 ounces","During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.). The firm is voluntarily recalling all products manufactured from August 20t",Class II,Terminated,USA,Spartan Central Kitchen
FDA,dates,20191103,Mann's Crave a Bowl Spicy Marinara     6 x 7 oz. UPC:716519040078  - Canada,CFIA notified FDA of positive result for Listeria monocytogenes with various best by dates of Sweet Kale Salad Blend.,Class II,Terminated,USA,"Mann Packing Company, Inc."
FDA,dates,20131107,"Finest Traditions,	Smoked Imitation Salmon Spread,	1/8 lb.,		10 733147 10120 6,	11/25/2013 - 12/9/2013;  Finest Traditions,	Smoked Imitation Salmon Spread,	6/12 oz.,	7 33147 00127 1,	10 733147 10079 7","Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",Class I,Terminated,USA,"Garden-Fresh Foods, Inc."
FDA,dates,20120910,#764 Salad - Large Chef	3/4 pounds  #763 Salad - Small Chef                    1/4 pound,"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.).  The firm is voluntarily recalling all products manufactured from August 20",Class II,Terminated,USA,Spartan Central Kitchen
FDA,dates,20131107,"Finest Traditions,	Pistachio Whip ,	1/8 lb.,		10 733147 00020 2,	11/11/2013 - 11/25/2013","Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",Class I,Terminated,USA,"Garden-Fresh Foods, Inc."
FDA,dates,20131107,"Garden-Fresh,	Onions Diced 1/4"",	4/5 lb.,		0 11596 50301 2,	11/1/2013 - 11/4/2013;  Garden-Fresh,	Onions Diced 1/4"",	1/5 lb.,		0 11596 50302 8,	                11/11/2013;  Garden-Fresh,	Onions Diced ","Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",Class I,Terminated,USA,"Garden-Fresh Foods, Inc."
FDA,dates,20170615,Natures Promise Cranberry Trail Mix 12oz.,"The firm's supplier (of dates/apricots) found Listeria monocytogenes within their facility. As a safety precaution, the firm has recalled their products that may contain dates/apricots.",Class I,Terminated,USA,United Natural Trading Inc. dba Woodstock Farms
FDA,dates,20131107,"Garden-Fresh, Layered Seafood Dip Base,,1/4 lb.,0 11596 55153 1, 11/21/2013 - 11/29/2013","Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",Class I,Terminated,USA,"Garden-Fresh Foods, Inc."
FDA,dates,20120910,#439 10 oz Very Green Pasta	12 ounces,"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.).  The firm is voluntarily recalling all products manufactured from August 20",Class II,Terminated,USA,Spartan Central Kitchen
FDA,dates,20120910,#321 Sonoma Chicken Salad	321	5 pounds,"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.). The firm is voluntarily recalling all products manufactured from August 20t",Class II,Terminated,USA,Spartan Central Kitchen
FDA,dates,20131107,"Finest Traditions,	Sour Cream & Chive Potato Filling,	1/8 lb,		10 733147 10261 6,	11/11/2013 - 11/18/2013;","Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",Class I,Terminated,USA,"Garden-Fresh Foods, Inc."
FDA,dates,20191103,Mann's Nourish Bowls Bolognese    4 x 11.5 oz. UPC: 716519037054  4 x 11.5 oz. UPC: 716519037061  - Mann Canada,CFIA notified FDA of positive result for Listeria monocytogenes with various best by dates of Sweet Kale Salad Blend.,Class II,Terminated,USA,"Mann Packing Company, Inc."
FDA,dates,20191103,Mann's Nourish Bowls Sweet Potato   4 x 10.5 oz. UPC: 716519036866 - Mann Canada,CFIA notified FDA of positive result for Listeria monocytogenes with various best by dates of Sweet Kale Salad Blend.,Class II,Terminated,USA,"Mann Packing Company, Inc."
