iso3,name,gdp_per_capita,gdp_per_capita_year,imports_pct_gdp,imports_pct_gdp_year,trade_pct_gdp,trade_pct_gdp_year
FRA,France,46103.0840855884,2024,34.2184333099912,2024,43.9631775031648,2024
DEU,Allemagne,56103.7323182554,2024,37.6566712174028,2024,66.2339063515856,2024
USA,États-Unis,84534.0407841548,2024,14.2711775613413,2024,18.8672542761173,2024
ESP,Espagne,35326.7683069278,2024,32.8943819660923,2024,51.9302729795657,2024
ITA,Italie,40385.3413957669,2024,30.3187269579455,2024,54.1755046319193,2024
NLD,Pays-Bas,67520.4218956281,2024,71.4002916810324,2024,142.828417035734,2024
BEL,Belgique,56614.5679499036,2024,79.6587399265935,2024,156.416562001153,2024
GBR,Royaume-Uni,53246.3676145108,2024,31.856001686543,2024,36.0438439907329,2024
CAN,Canada,54340.3477224733,2024,32.706147029013,2024,50.9421126642333,2024
JPN,Japon,32487.0778047567,2024,23.6379517504111,2024,36.0141993215173,2024
SAU,Arabie Saoudite,35121.6628687742,2024,25.5694929974983,2024,43.4185378039162,2024
ARE,Émirats Arabes,50273.5060469837,2024,92.1988402202852,2023,207.764145787865,2024
QAT,Qatar,76688.6941743178,2024,31.6152320211846,2022,59.3568326998867,2024
KWT,Koweït,32717.7186631255,2024,38.3496376441492,2023,70.5597729060569,2024
CHN,Chine,13303.1481543868,2024,17.1755035026016,2024,32.8725442955454,2024
KOR,Corée du Sud,36238.639908315,2024,40.2842567598803,2024,70.1388647642219,2024
SGP,Singapour,90674.066632628,2024,143.595141120325,2024,176.172365043508,2024
AUS,Australie,64603.9856308464,2024,22.5238570535723,2024,36.2641353501553,2024
NOR,Norvège,86785.4334489176,2024,33.8718001711117,2024,55.3569209403213,2024
CHE,Suisse,103998.186685604,2024,61.9362037538192,2024,87.1346568340343,2024
