hs_code,year,partner_code,hs_desc,partner_name,value_usd,weight_kg,price_usd_kg,value_next,log_return,target_year,lag1,lag2,lag3,ma3,std3,growth_lag1,log_return_lag1,price_lag1
01,2018,528,Animals; live,Netherlands,79911.981,0,0.0,371564.048,153.67954615982157,2019,22570.105,341439.0,,,225474.3579639612,254.0611840308231,126.4299548456483,0.0
01,2019,528,Animals; live,Netherlands,371564.048,0,0.0,470286.27,23.562034132694173,2020,79911.981,22570.105,341439.0,147973.69533333334,169981.29534782484,364.9666337266749,153.67954615982157,0.0
01,2020,528,Animals; live,Netherlands,470286.27,0,0.0,1373694.219,107.19173055864317,2021,371564.048,79911.981,22570.105,158015.378,187147.7986241797,26.569368735050492,23.562034132694173,0.0
01,2021,528,Animals; live,Netherlands,1373694.219,0,0.0,188932.897,-198.3866990290721,2022,470286.27,371564.048,79911.981,307254.09966666665,202977.45803177476,192.0974535361196,107.19173055864317,0.0
01,2022,528,Animals; live,Netherlands,188932.897,0,0.0,103891.511,-59.8044718483003,2023,1373694.219,470286.27,371564.048,738514.8456666666,552291.722290176,-86.246364410157,-198.3866990290721,0.0
01,2023,528,Animals; live,Netherlands,103891.511,0,0.0,51805.606,-69.58488238582741,2024,188932.897,1373694.219,470286.27,677637.7953333333,618999.8698064014,-45.0114232885552,-59.8044718483003,0.0
01,2015,56,Animals; live,Belgium,4933251.057,0,0.0,4380952.0,-11.873216195865943,2016,,,,,,,,
01,2016,56,Animals; live,Belgium,4380952.0,0,0.0,6204711.369,34.80428493312869,2017,4933251.057,,,,,-11.195437868833361,-11.873216195865943,0.0
01,2017,56,Animals; live,Belgium,6204711.369,0,0.0,9386494.608,41.39630106397182,2018,4380952.0,4933251.057,,,390534.4084476356,41.62929356450379,34.80428493312869,0.0
01,2018,56,Animals; live,Belgium,9386494.608,0,0.0,11033556.975,16.166935080684645,2019,6204711.369,4380952.0,4933251.057,5172971.475333333,935213.3276575194,51.28011683020157,41.39630106397182,0.0
01,2019,56,Animals; live,Belgium,11033556.975,0,0.0,12209467.165,10.127038479331176,2020,9386494.608,6204711.369,4380952.0,6657385.992333333,2533288.364178729,17.547150835160856,16.166935080684645,0.0
01,2020,56,Animals; live,Belgium,12209467.165,0,0.0,12532915.032,2.6146738124139723,2021,11033556.975,9386494.608,6204711.369,8874920.984,2454733.824923946,10.657580258699841,10.127038479331176,0.0
01,2021,56,Animals; live,Belgium,12532915.032,0,0.0,11439244.058,-9.130848114219999,2022,12209467.165,11033556.975,9386494.608,10876506.249333333,1418024.0520590967,2.6491562869115635,2.6146738124139723,0.0
01,2022,56,Animals; live,Belgium,11439244.058,0,0.0,12176358.979,6.2446378269104885,2023,12532915.032,12209467.165,11033556.975,11925313.057333333,789035.0521051541,-8.72638944098444,-9.130848114219999,0.0
01,2023,56,Animals; live,Belgium,12176358.979,0,0.0,29494994.306,88.47242812140507,2024,11439244.058,12532915.032,12209467.165,12060542.084999999,561838.9977852032,6.443738041278182,6.2446378269104885,0.0
01,2015,682,Animals; live,Saudi Arabia,6339.952,0,0.0,17749.03,102.9459669098294,2016,,,,,,,,
01,2023,682,Animals; live,Saudi Arabia,17749.03,0,0.0,29001.966,49.10327542512231,2024,6339.952,,,,,179.95527410933073,102.9459669098294,0.0
01,2015,686,Animals; live,Senegal,2183.082,0,0.0,1186.0,-61.01513392735174,2016,,,,,,,,
01,2017,686,Animals; live,Senegal,10827.463,0,0.0,27258.28,92.32715512900779,2018,1186.0,2183.082,,,705.0434435990451,812.939544688027,221.14994763006132,0.0
01,2020,686,Animals; live,Senegal,22027.962,0,0.0,73761.934,120.85301527565588,2021,1954.118,27258.28,10827.463,13346.620333333332,12838.79935520165,1027.2585381230817,242.23737055785682,0.0
01,2021,686,Animals; live,Senegal,73761.934,0,0.0,149110.698,70.38461706216353,2022,22027.962,1954.118,27258.28,17080.12,13357.994197232008,234.85591631218537,120.85301527565588,0.0
01,2022,686,Animals; live,Senegal,149110.698,0,0.0,131077.529,-12.889999713014447,2023,73761.934,22027.962,1954.118,32581.338,37048.899017656324,102.15128578380282,70.38461706216353,0.0
01,2023,686,Animals; live,Senegal,131077.529,0,0.0,365076.496,102.43179371366429,2024,149110.698,73761.934,22027.962,81633.53133333333,63906.00113248387,-12.093813014006544,-12.889999713014447,0.0
01,2016,724,Animals; live,Spain,396314.0,0,0.0,147193.282,-99.04602596787132,2017,31859.091,,,,,1143.9589064232875,252.08840533436233,0.0
01,2017,724,Animals; live,Spain,147193.282,0,0.0,211116.819,36.066505815488306,2018,396314.0,31859.091,,,257708.53759062607,-62.859429139520685,-99.04602596787132,0.0
01,2018,724,Animals; live,Spain,211116.819,0,0.0,264734.289,22.63150151232292,2019,147193.282,396314.0,31859.091,191788.791,186275.10499467282,43.42829790288933,36.066505815488306,0.0
01,2019,724,Animals; live,Spain,264734.289,0,0.0,40686.085,-187.284049784616,2020,211116.819,147193.282,396314.0,251541.367,129386.59549954202,25.39706227763881,22.63150151232292,0.0
01,2021,724,Animals; live,Spain,327346.473,0,0.0,401056.61,20.30834289839883,2022,40686.085,264734.289,211116.819,172179.0643333333,116989.36269066323,704.5661630997428,208.51330183302673,0.0
01,2022,724,Animals; live,Spain,401056.61,0,0.0,741746.136,61.490446044248145,2023,327346.473,40686.085,264734.289,210922.28233333337,150716.10251793824,22.517467906245013,20.30834289839883,0.0
01,2023,724,Animals; live,Spain,741746.136,0,0.0,1378130.924,61.94764073650391,2024,401056.61,327346.473,40686.085,256363.05599999998,190383.068939811,84.94798926266296,61.490446044248145,0.0
01,2017,752,Animals; live,Sweden,7874.35,0,0.0,1780.055,-148.69663789195323,2018,,,,,,,,
