,category,score,label
FRA,0,100,Pays OCDE
DEU,0,100,Pays OCDE
USA,0,100,Pays OCDE
ESP,0,100,Pays OCDE
ITA,0,100,Pays OCDE
NLD,0,100,Pays OCDE
BEL,0,100,Pays OCDE
GBR,0,100,Pays OCDE
CAN,0,100,Pays OCDE
JPN,0,100,Pays OCDE
AUS,0,100,Pays OCDE
NOR,0,100,Pays OCDE
CHE,0,100,Pays OCDE
KOR,0,100,Pays OCDE
SAU,2,70,Risque faible
ARE,2,70,Risque faible
QAT,2,70,Risque faible
KWT,2,70,Risque faible
CHN,2,65,Risque faible
SGP,1,90,Risque très faible
