hs_code,hs_desc,year,country_code,country_name,value_usd,weight_kg,qty,price_usd_kg,value_lag1,growth_yoy
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2016,380,Italie,49257.0,58690.0,58690.0,0.8392741523257795,32152.254,53.19921272082511
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2017,380,Italie,46049.615,48400.0,48400.0,0.9514383264462809,49257.0,-6.511531355949413
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2018,380,Italie,45398.533,43256.0,43256.0,1.0495314638431663,46049.615,-1.4138706697113428
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2019,380,Italie,16884.029,21420.0,21420.0,0.7882366479925302,45398.533,-62.80930707606785
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2020,380,Italie,40405.092,46516.0,46516.0,0.8686278269842634,16884.029,139.30953921010206
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2021,380,Italie,41855.888,41016.0,41016.0,1.0204770821142968,40405.092,3.5906266467602705
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2022,380,Italie,152008.526,146984.0,146984.0,1.0341841697055463,41855.888,263.1711887225998
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2023,380,Italie,173913.509,197283.0,197283.0,0.8815433108782814,152008.526,14.410364718621096
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2022,392,Japon,41.434,40.0,40.0,1.03585,,
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2015,410,Corée du Sud,864541.512,1070000.0,1070000.0,0.8079827214953271,,
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2016,410,Corée du Sud,876309.0,1125350.0,1125350.0,0.7786990714000089,864541.512,1.3611246928765188
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2017,410,Corée du Sud,294400.176,380569.0,380569.0,0.7735789725384884,876309.0,-66.40452443145055
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2018,410,Corée du Sud,405382.554,512600.0,512600.0,0.7908360397971128,294400.176,37.69779607740453
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2019,410,Corée du Sud,545206.624,709050.0,709050.0,0.7689254974966504,405382.554,34.491881463650735
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2020,410,Corée du Sud,76270.994,95700.0,95700.0,0.7969800835945664,545206.624,-86.01062594573318
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2021,410,Corée du Sud,29875.337,24000.0,24000.0,1.2448057083333333,76270.994,-60.83001488088644
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2017,528,Pays-Bas,34089.083,27722.0,27722.0,1.229676177764952,,
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2018,528,Pays-Bas,23291.991,21980.0,21980.0,1.0596902183803458,34089.083,-31.6731664503853
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2019,528,Pays-Bas,10444.338,11000.0,11000.0,0.9494852727272727,23291.991,-55.159101684351505
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2020,528,Pays-Bas,54004.237,55135.0,55135.0,0.9794910129681691,10444.338,417.06711330100586
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2021,528,Pays-Bas,101950.446,102294.0,102294.0,0.996641503900522,54004.237,88.78230980284009
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2022,528,Pays-Bas,182871.874,163328.0,163328.0,1.1196602787029781,101950.446,79.37329474752863
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2023,528,Pays-Bas,108404.868,100498.0,100498.0,1.0786768691914268,182871.874,-40.72086339531907
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2015,724,Espagne,9103352.816,10166886.0,10166886.0,0.8953924354025411,,
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2016,724,Espagne,9952724.0,13154962.0,13154962.0,0.7565756556347332,9103352.816,9.330311602414778
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2017,724,Espagne,13089352.797,15530299.0,15530299.0,0.8428268378477453,9952724.0,31.515279605864688
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2018,724,Espagne,13033024.642,14588959.0,14588959.0,0.8933485001911378,13089352.797,-0.43033567719948235
